,Output
546,1
658,1
1170,0
1019,0
1199,0
959,0
1347,1
283,1
797,0
225,1
26,1
437,1
1392,1
229,1
37,1
749,0
1045,0
469,1
1221,0
1407,1
687,0
1317,1
639,1
1237,0
1158,0
1193,0
1302,1
800,0
160,1
956,0
821,0
1213,0
877,0
913,0
152,1
1312,1
509,1
1135,0
1200,0
103,1
586,1
1268,1
1143,0
53,1
151,1
403,1
1389,1
207,1
1355,1
1122,0
8,1
1014,0
1282,1
1060,0
452,1
253,1
896,0
1250,0
880,0
1351,1
623,1
345,1
1229,0
262,1
150,1
472,1
640,1
1418,0
1348,1
550,1
928,0
488,1
1295,1
1171,0
146,1
402,1
954,0
1343,1
659,1
463,1
186,1
1147,0
1224,0
608,1
143,1
751,0
981,0
197,1
883,0
279,1
293,1
1303,1
400,1
122,1
1207,0
202,1
835,0
246,1
1360,1
1346,1
1153,0
384,1
854,0
219,1
641,1
1,1
112,1
698,0
1367,1
951,0
1258,0
1292,1
441,1
1136,0
1256,0
663,1
1311,1
1257,0
1270,1
317,1
648,1
709,0
972,0
627,1
632,1
1248,0
1420,0
1254,0
1322,1
795,0
645,1
1012,0
556,1
681,0
577,1
1109,0
1266,0
1183,0
524,1
1059,0
540,1
1194,0
748,0
1325,1
484,1
95,1
1020,0
563,1
1264,0
742,0
863,0
891,0
1038,0
206,1
392,1
794,0
870,0
397,1
766,0
1315,1
1241,0
1028,0
642,1
612,1
960,0
725,0
683,0
98,1
804,0
406,1
502,1
1071,0
1056,0
929,0
779,0
200,1
134,1
1051,0
40,1
1017,0
230,1
378,1
288,1
418,1
391,1
592,1
1162,0
1086,0
647,1
1152,0
520,1
64,1
14,1
1180,0
1064,0
492,1
379,1
187,1
763,0
216,1
791,0
1076,0
878,0
337,1
719,0
295,1
1016,0
1275,1
455,1
1429,0
815,0
269,1
995,0
201,1
161,1
729,0
401,1
702,0
1129,0
565,1
1021,0
1025,0
1104,0
205,1
34,1
775,0
508,1
1410,1
91,1
1363,1
897,0
564,1
1369,1
776,0
241,1
13,1
315,1
600,1
387,1
1297,1
166,1
840,0
20,1
646,1
1154,0
831,0
1267,1
562,1
1395,1
686,0
957,0
189,1
975,0
699,0
510,1
1082,0
474,1
856,0
747,0
252,1
21,1
1337,1
459,1
1184,0
276,1
955,0
1215,0
385,1
805,0
343,1
769,0
1332,1
130,1
871,0
1123,0
1396,1
87,1
330,1
1238,0
466,1
121,1
1044,0
1095,0
1130,0
1294,1
860,0
1126,0
